Student_ID,Study_Hours_Per_Day,Extracurricular_Hours_Per_Day,Sleep_Hours_Per_Day,Social_Hours_Per_Day,Physical_Activity_Hours_Per_Day,Stress_Level,GPA
131,8.8,0.7,6.6,2.6,5.3,High,2.99
132,5.6,2.4,6.4,3.5,6.1,Low,2.85
133,5.8,1.9,7.7,0.3,8.3,Low,2.7
134,5.3,4,6.6,4.9,3.2,Low,2.72
135,6.3,2.7,8.8,3.6,2.6,Moderate,2.45
136,6.7,3.7,9.2,4.2,0.2,Moderate,2.85
137,5.6,2.9,9.7,1.1,4.7,Low,2.86
138,7.9,3.4,5.7,4.8,2.2,High,3.15
139,6,0.7,5.8,4.9,6.6,High,2.96
140,6.8,3.5,7,4.9,1.8,Moderate,3.44
141,7.2,1.5,7.3,1.8,6.2,Moderate,3.08
142,6.2,3.6,6.9,3.3,4,Moderate,3.27
143,9.5,2.5,5.6,5.6,0.8,High,3.13
144,5.7,3.2,8.1,3.2,3.8,Low,3.08
145,9.5,3.2,5.8,1.7,3.8,High,3.59
146,5.2,2.3,8.8,5.3,2.4,Low,2.61
147,6.7,3.3,5.6,5.1,3.3,High,2.95
148,9,0.6,6.1,4.3,4,High,3.15
149,8.6,2.6,8.5,2.3,2,High,3.14
150,5.9,3.6,7.9,2.4,4.2,Low,2.64
151,7.3,3.8,5.8,3.5,3.6,High,3.58
152,5.1,3.5,9.7,3.2,2.5,Low,2.79
153,8.5,3.7,8.5,0.5,2.8,High,3.65
154,7.1,2.9,9.7,4,0.3,Moderate,3.33
155,7.3,0.5,9.9,5,1.3,Moderate,3.11
156,8,1.6,5.3,2,7.1,High,3.42
157,9,0,6.7,2.4,5.9,High,3.51
158,6.7,1.4,8.7,2.7,4.5,Moderate,3.02
159,6.1,1.8,5.7,1.1,9.3,High,2.38
160,9.6,1.4,7.9,3.2,1.9,High,3.43
161,5.1,2.7,5.9,5.8,4.5,High,2.71
162,5.4,4,7.5,3.6,3.5,Low,2.59
163,5.3,3,6,5.4,4.3,Low,2.68
164,5.2,1.9,7.8,0.4,8.7,Low,2.67
165,8.9,1.8,7.6,2.5,3.2,High,3.58
166,5.8,0.7,9.3,5.7,2.5,Low,2.46
167,6.9,1.1,8.2,2.5,5.3,Moderate,3.22
168,5.1,0.9,6.2,4,7.8,Low,3.02
169,5.1,0.4,9,1.1,8.4,Low,2.52
170,5.5,1,8.6,5.1,3.8,Low,2.97
171,9.2,1.6,8.3,1,3.9,High,3.5
172,5.1,0.3,6,0.2,12.4,Low,2.7
173,5.9,2.3,7.1,5.4,3.3,Low,2.78
174,6.3,1.5,8,1.6,6.6,Moderate,3.15
175,8.1,1.6,7.8,2.6,3.9,High,3.26
176,8.8,0.6,9.3,2.6,2.7,High,3.3
177,9.5,3.2,7.1,0.1,4.1,High,3.49
178,8.2,1,5.7,5,4.1,High,2.89
179,9.9,2.1,5.9,1.6,4.5,High,3.52
180,6.4,2.2,8.3,5,2.1,Moderate,2.76
181,6,0,5.7,5.4,6.9,High,2.95
182,8,2.7,5.9,5.5,1.9,High,3.4
183,7.1,1.5,7.6,0.3,7.5,Moderate,3.17
184,5.4,2.4,6.2,2.3,7.7,Low,2.66
185,6.4,1.4,8.6,1.8,5.8,Moderate,2.77
186,8.3,3.7,8.7,0.7,2.6,High,3.77
187,5.2,1,8,0.3,9.5,Low,3.29
188,6.7,3.1,5.5,0.5,8.2,High,2.99
189,8.6,2,8.4,2.2,2.8,High,3.43
190,9,2.8,6.4,3.4,2.4,High,3.24
191,6.8,0.4,9.6,0.8,6.4,Moderate,3.01
192,5.9,2.2,9.4,4.4,2.1,Low,3.01
193,9,2.6,8.5,3.3,0.6,High,3.34
194,6.1,4,9.7,0.2,4,Moderate,2.58
195,8.5,3.7,5.9,3.4,2.5,High,3.06
196,9.6,3.9,9.7,0.4,0.4,High,3.65
197,9.3,3.4,6.6,3.9,0.8,High,3.41
198,6.2,0.5,5.4,4.2,7.7,High,2.84
199,6.7,2.9,5.3,1.9,7.2,High,3.29
200,6.6,2.5,9.4,3.4,2.1,Moderate,3.03
201,6.2,0.1,9.4,0.1,8.2,Moderate,2.95
202,9.7,3.2,10,0.4,0.7,High,3.67
203,8.8,1.6,7.4,3.8,2.4,High,3.23
204,7.1,3,6.2,0.7,7,Moderate,3.36
205,6.8,1.1,6.5,1.4,8.2,Moderate,3.01
206,6.9,2.7,6.1,5.7,2.6,Moderate,3.08
207,8.9,0.4,7.1,5.3,2.3,High,3.33
208,8.1,0.7,10,1.2,4,High,3.35
209,9.7,2.6,8,1.9,1.8,High,3.33
210,6.1,0.7,8.9,2.1,6.2,Moderate,2.81
211,5.3,3.9,9.4,5,0.4,Low,3.08
212,8.5,0.6,9.1,1.3,4.5,High,3.16
213,6.1,2.1,8,3.5,4.3,Moderate,2.79
214,9.4,3.8,9.3,1.2,0.3,High,3.33
215,8.3,2.2,5.4,2.5,5.6,High,2.97
216,8.6,2,5.4,1.3,6.7,High,3.14
217,8.4,0.3,9.3,3,3,High,3.77
218,9.1,1.4,8.4,2.9,2.2,High,3.26
219,6.3,3.5,9,3.4,1.8,Moderate,3.11
220,8.5,2.7,8.1,3.5,1.2,High,3.38
221,5.8,3.5,9.4,0.2,5.1,Low,2.84
222,6.7,3,5.8,4.9,3.6,High,3.03
223,9.2,2,5,1.7,6.1,High,3.42
224,8.2,1,8.2,3.2,3.4,High,3.24
225,8.9,0.4,8.8,3.2,2.7,High,3.32
226,8.2,3.7,5.5,5.6,1,High,3.29
227,8.4,0.3,6.5,4.2,4.6,High,3.29
228,6.7,2.5,5.2,5.2,4.4,High,2.86
229,9.9,3.9,8.7,0.2,1.3,High,3.8
230,8.4,1.8,6.4,6,1.4,High,3.25
231,7.1,1.8,5.8,4.8,4.5,High,2.86
232,5.4,2.7,8.3,1.6,6,Low,2.95
233,9.8,0.6,7.2,5.7,0.7,High,3.84
234,7,1.1,9.9,2.5,3.5,Moderate,2.84
235,9.5,0.9,6.1,0.2,7.3,High,3.17
236,9.3,1.9,9.8,0.6,2.4,High,3.68
237,9.3,3.1,8.9,2.3,0.4,High,3.52
238,5.7,0.1,9.6,3.7,4.9,Low,3.12
239,9,1.9,5.6,0.8,6.7,High,3.21
240,6,2,5.3,3.5,7.2,High,3.26
241,6.3,3.2,6.6,2.7,5.2,Moderate,2.85
242,8,1.2,8.5,5.2,1.1,Moderate,2.72
243,8.9,0.2,7.4,0.6,6.9,High,3.33
244,8.1,2.8,7.8,0.1,5.2,High,2.98
245,6.6,2.1,5.4,2.1,7.8,High,2.79
246,7.8,2.8,9,0.9,3.5,Moderate,3.11
247,5.8,0.4,8.2,4.2,5.4,Low,2.88
248,8.5,3.5,8.6,2.7,0.7,High,3.15
249,6.7,3.3,5.4,5.4,3.2,High,3.27
250,7.3,2.6,7.6,4.4,2.1,Moderate,3.13
251,5.4,0.2,6.2,1,11.2,Low,2.75
252,9.9,1.3,5.9,4.7,2.2,High,3.57
253,8.3,2,7.8,4.2,1.7,High,3.25
254,6,2.7,5.4,0.2,9.7,High,2.92
255,6.3,1.9,9.3,4.4,2.1,Moderate,2.85
256,6.7,1.5,9.9,0.2,5.7,Moderate,3.32
257,9.3,2.3,7.2,3.8,1.4,High,3.61
258,9.5,1.7,6.4,3.6,2.8,High,3.42
259,9.6,0.8,8.1,3.5,2,High,3.31
260,8.6,3.6,5.9,1.4,4.5,High,3.37
261,9.9,0.7,9.3,2,2.1,High,3.59
262,7.2,2.1,6.8,3.6,4.3,Moderate,3.01
263,5.8,1.6,9.8,1.5,5.3,Low,2.61
264,8.9,0.5,9.8,2.2,2.6,High,3.57
265,6.2,0.3,5.8,3.1,8.6,High,3.13
266,7.2,1,8.1,4.2,3.5,Moderate,2.98
267,5.8,0.7,5.2,4.4,7.9,High,2.81
268,9.2,3.2,7.9,3.2,0.5,High,3.8
269,6,0.4,6.3,0.3,11,Moderate,3.05
270,5.2,0.5,7.3,5.6,5.4,Low,2.79
271,6.6,2,5.2,0.9,9.3,High,3.17
272,7.3,2.1,7.4,4,3.2,Moderate,3.16
273,5.7,0.1,6.5,4.2,7.5,Low,2.98
274,9.8,0.4,8.4,2.4,3,High,3.26
275,9.3,0.7,8.5,4.6,0.9,High,3.43
276,7.5,2.5,9.3,2.7,2,Moderate,3.2
277,5.2,3.7,8.4,4.1,2.6,Low,2.91
278,7,2.6,5.5,3.9,5,High,2.82
279,10,0.2,9.9,1.6,2.3,High,3.56
280,7.8,3,9.4,1.5,2.3,Moderate,3.25
281,6.6,2.7,9,4.3,1.4,Moderate,2.93
282,9.1,0.5,7.7,0,6.7,High,3.64
283,6.6,1.5,7,4.2,4.7,Moderate,2.79
284,6.2,1.5,6.1,0.4,9.8,Moderate,2.5
285,8,2.7,8.1,2.4,2.8,Moderate,3.4
286,7.6,1.9,5.1,2,7.4,High,3.08
287,6.9,1.6,7.9,3.2,4.4,Moderate,3.31
288,9.1,2.9,9.8,0,2.2,High,3.48
289,6,0,8.2,5.4,4.4,Moderate,2.92
290,5.3,3.7,6.8,0.6,7.6,Low,2.78
291,7.4,1,6.4,1.8,7.4,Moderate,3.15
292,6.6,2.4,8.6,1.6,4.8,Moderate,3.27
293,7.1,0.5,5.9,4.1,6.4,High,3.09
294,8.5,0.4,7.8,1.5,5.8,High,3.01
295,9.8,1.9,9,1.8,1.5,High,3.5
296,9.8,2.4,9.1,2.4,0.3,High,3.38
297,6.1,0.8,8.1,2.5,6.5,Moderate,2.67
298,8.9,1.1,9.1,2.1,2.8,High,3.2
299,8.3,0.4,8.1,2.7,4.5,High,3.01
300,8.7,3.5,6.1,0.5,5.2,High,3.37
301,5.1,2.6,8,3.3,5,Low,2.65
302,8,2,9.9,0.6,3.5,Moderate,2.93
303,8.5,1.6,7.1,4.3,2.5,High,3.39
304,6.4,0.3,5.4,5.4,6.5,High,3.29
305,6,1.3,6.1,2.1,8.5,Moderate,2.91
306,5.3,3.2,6.2,3.2,6.1,Low,2.64
307,9.4,2.6,7.7,1.4,2.9,High,3.66
308,10,2.6,7.8,2.6,1,High,3.26
309,7.3,0.2,7.8,5.7,3,Moderate,3.2
310,6,2.1,5.5,2.7,7.7,High,2.72
311,8.8,1.4,8.3,4.4,1.1,High,3.1
312,10,3.7,7.7,2.2,0.4,High,3.44
313,7.6,2.5,5.4,4.5,4,High,3.17
314,8.9,2.8,5.2,1.8,5.3,High,3.3
315,6.3,1.4,5.4,5.6,5.3,High,2.58
316,7,1.8,8,3.1,4.1,Moderate,3.15
317,9.6,2,10,2,0.4,High,3.46
318,6.9,3.5,9.3,3.5,0.8,Moderate,3.02
319,9,1.2,5.4,2.4,6,High,3.46
320,6.7,3.9,8.2,4.3,0.9,Moderate,2.83
321,5.7,3.4,9.6,2.6,2.7,Low,3.13
322,5.9,2,7,0.9,8.2,Low,3
323,6.8,0.3,5.1,0.8,11,High,3.03
324,9.8,1.7,6.6,3,2.9,High,3.58
325,7.2,0.4,8.2,1.3,6.9,Moderate,3.39
326,5.8,0.2,8.9,2.8,6.3,Low,3.11
327,5.3,4,5.3,4.2,5.2,High,2.67
328,8.5,0.2,7.5,6,1.8,High,3.21
329,9.1,2.5,6.5,3.7,2.2,High,2.85
330,5.7,3.5,7.2,1.2,6.4,Low,3.04
331,6.8,1.7,9.1,4.4,2,Moderate,2.9
332,5.1,1,8.8,0.8,8.3,Low,2.25
333,7.7,0.9,5.1,1.4,8.9,High,3.15
334,5.5,2.2,7.3,5.1,3.9,Low,2.94
335,5.5,2,5.8,1.9,8.8,High,2.79
336,6.9,1.6,7.3,4.7,3.5,Moderate,3.38
337,9.5,3.8,8.9,0.6,1.2,High,3.3
338,6.3,3.4,5.2,5.4,3.7,High,3.31
339,7.3,2.5,8.3,5.3,0.6,Moderate,3.36
340,5.3,2.1,5.8,4.4,6.4,High,3.11
341,7.6,2.7,5.2,0.5,8,High,3.07
342,5.4,0,9.8,4.4,4.4,Low,2.85
343,6.8,1.2,6.7,4.6,4.7,Moderate,2.81
344,5.9,0.4,8.3,4.6,4.8,Low,2.99
345,6.3,0.1,5.4,5.8,6.4,High,3.14
346,8.1,1.5,6,0.7,7.7,High,3.06
347,8.1,3.1,8.2,2.4,2.2,High,3.09
348,9.9,2.4,7.9,2.8,1,High,3.67
349,9.1,2.6,5.6,2,4.7,High,3.16
350,7.2,2.5,9.7,1.1,3.5,Moderate,2.69
351,5.6,0.8,9.4,3.9,4.3,Low,3.01
352,9.3,3.4,9.6,0.4,1.3,High,3.28
353,8.8,1.8,9.2,3.1,1.1,High,3.45
354,5.9,2.2,9.9,5.6,0.4,Low,3.12
355,5.2,0.7,5.7,4.4,8,High,2.67
356,7.5,3.4,8.7,2.4,2,Moderate,3.24
357,8,2,6.5,3.4,4.1,Moderate,3.35
358,8.2,3,5.8,2.8,4.2,High,3.31
359,5,1,8.6,6,3.4,Low,2.71
360,9,0.8,7.8,4.4,2,High,3.18
361,8.1,0.8,6.8,4.7,3.6,High,3.19
362,8.8,0.1,8.7,1.2,5.2,High,3.32
363,9.8,1.5,6.6,0.9,5.2,High,3.61
364,10,1.5,7.2,3.8,1.5,High,3.43
365,9.4,2.4,7,2.1,3.1,High,3.1
366,9,0.4,7.9,2.9,3.8,High,3.6
367,8.2,0.3,7.9,3.4,4.2,High,3.64
368,8.4,3.2,6.3,5,1.1,High,3.5
369,7.5,0.3,5.3,2,8.9,High,3.26
370,8.9,2.1,7.2,0.9,4.9,High,3.53
371,6.6,1.7,5.4,1.3,9,High,3.29
372,10,3.7,8.2,0.9,1.2,High,3.63
373,8.2,3.1,5.6,2.5,4.6,High,3.16
374,7.9,2.4,5.9,2.2,5.6,High,3.4
375,6.7,0.1,5.1,5,7.1,High,3.03
376,6.5,3.8,6.3,2.6,4.8,Moderate,2.62
377,9.4,3.4,5.9,4.3,1,High,3.18
378,5.7,0.3,8.6,3,6.4,Low,2.28
379,7.2,2.9,8.8,0.8,4.3,Moderate,2.88
380,8.8,2.6,9.8,0.2,2.6,High,3.38
381,5.3,1.1,6.3,1.5,9.8,Low,2.75
382,6.4,3,7.2,4.7,2.7,Moderate,3.03
383,5.3,2,5.2,0.4,11.1,High,2.31
384,6.7,3.6,5.1,4,4.6,High,3.18
385,9.8,2.2,9.7,0.1,2.2,High,3.16
386,8.7,3.9,6.3,3.3,1.8,High,3.2
387,6,2.3,7.3,5.8,2.6,Moderate,2.58
388,5.6,0.6,6.1,1.5,10.2,Low,3.07
389,9.3,2.2,7.6,0.6,4.3,High,3.48
390,5.3,2.8,7.7,0.5,7.7,Low,2.93
391,7.3,1.9,5.8,5.7,3.3,High,3.18
392,7.3,1.6,8.3,3.3,3.5,Moderate,3.28
393,5.3,2.1,9,2.8,4.8,Low,2.67
394,5.8,1.3,8.8,3.1,5,Low,2.71
395,6,3.5,9.4,4.4,0.7,Moderate,2.84
396,9.9,3.1,5.1,0.4,5.5,High,3.17
397,7.3,3.6,7.7,2.7,2.7,Moderate,3.15
398,9.1,1.5,8.9,4.3,0.2,High,3.21
399,6,2.1,6.4,4.8,4.7,Moderate,3.27
400,9,1.6,9.6,2,1.8,High,3.57
401,5.8,2.8,9,1.9,4.5,Low,2.8
402,5.9,3.6,8.3,0.9,5.3,Low,2.8
403,7.2,2.5,5.4,5.3,3.6,High,3.08
404,9.8,1.7,9.9,1.7,0.9,High,3.75
405,8.2,0.7,9.4,2.4,3.3,High,3.47
406,8.6,3.6,5.4,4.4,2,High,3.81
407,5.9,3.4,9.1,3,2.6,Low,2.68
408,7.4,3.3,7.3,2.1,3.9,Moderate,3.34
409,7.5,3.3,6.7,1,5.5,Moderate,3.29
410,5.5,1,5.7,2.1,9.7,High,2.93
411,7.3,3,8.3,3.4,2,Moderate,3.29
412,7.4,3.9,8.2,0.6,3.9,Moderate,3.02
413,8.4,1.3,8.4,0.4,5.5,High,3.32
414,6.1,3.3,6.4,3.9,4.3,Moderate,2.86
415,8.5,2.1,6.5,1.3,5.6,High,3.38
416,9.4,3.1,8.9,1.7,0.9,High,3.45
417,6.3,3.6,8.4,3.2,2.5,Moderate,2.92
418,7.3,3.5,7.7,2.1,3.4,Moderate,2.9
419,9.9,0.4,7.1,0.3,6.3,High,3.55
420,6.4,3.4,6.5,5.5,2.2,Moderate,3
421,8.8,3.2,5.1,5.8,1.1,High,3.13
422,9.1,1.1,9.4,0.5,3.9,High,3.58
423,8.5,2.2,5.5,1.5,6.3,High,3.27
424,6.5,2.4,6.5,1.8,6.8,Moderate,2.91
425,8.7,0.2,9.5,4.8,0.8,High,3.5
426,9.5,0.7,5.4,1.4,7,High,3.77
427,9,0.1,7.9,6,1,High,3.36
428,5.3,3.3,8,0.7,6.7,Low,3.03
429,5.5,3.6,8.3,5,1.6,Low,2.86
430,7.6,1.7,6.6,2.6,5.5,Moderate,3.34
431,8.9,2.4,9.5,1.4,1.8,High,3.66
432,8,2.8,6.2,3.1,3.9,Moderate,3.46
433,5.5,1.5,7.4,3.9,5.7,Low,2.85
434,8.7,2,8.2,0.4,4.7,High,3.42
435,6.3,1.4,7.4,0.3,8.6,Moderate,2.86
436,9.9,1.3,7.4,1.1,4.3,High,3.35
437,8.1,1.1,6,3.1,5.7,High,3.15
438,9,2.3,7.6,1.5,3.6,High,3.2
439,9.7,1.6,5.4,3.7,3.6,High,3.39
440,7.5,3.5,7.5,3.9,1.6,Moderate,2.97
441,10,0.5,6.4,2.4,4.7,High,3.14
442,9.5,2.9,8,1.1,2.5,High,3.11
443,9.1,3.8,9.1,0,2,High,3.27
444,6.3,0.2,8,4.1,5.4,Moderate,2.97
445,5.6,1.5,7.3,2.2,7.4,Low,2.8
446,8.8,0.3,5.4,2.1,7.4,High,3.12
447,9.7,2.7,8.4,1.2,2,High,3.44
448,8.2,3.7,8.1,3.5,0.5,High,3.23
449,8.6,0.5,9.5,0.4,5,High,3.06
450,5.1,1.7,6.5,2.9,7.8,Low,2.79
451,7.9,0.2,5.6,3.4,6.9,High,3.44
452,8.3,3.4,8.5,1.6,2.2,High,3.07
453,8.4,1.1,6.5,4.7,3.3,High,3.54
454,9.1,3.4,9.6,0.8,1.1,High,3.31
455,6.6,2.3,6.9,3.6,4.6,Moderate,3.2
456,6.9,0.7,7.2,0.9,8.3,Moderate,3.26
457,9.5,1.4,5.8,0.2,7.1,High,3.69
458,6.7,0.3,7,1.9,8.1,Moderate,3.28
459,8.4,2.4,6.8,1.3,5.1,High,3.25
460,8.4,0.6,7.4,0.2,7.4,High,3.32
461,7.5,3.9,6.9,0.2,5.5,Moderate,3.11
462,5.8,0.1,8.8,2.8,6.5,Low,2.8
463,6.4,3.6,5.6,5.7,2.7,High,3.1
464,8,3.3,9.9,0.8,2,Moderate,3.13
465,9.8,1.6,6.9,1.9,3.8,High,3.23
466,7.8,2.2,8.8,4.3,0.9,Moderate,3.2
467,7.2,1.2,6.3,1.2,8.1,Moderate,3.05
468,6.4,3.9,7.8,2,3.9,Moderate,2.87
469,7.9,0.6,7.2,3.8,4.5,Moderate,2.68
470,10,3.5,8.1,1.4,1,High,3.44
471,8.1,0.8,7,0.2,7.9,High,3.74
472,6.1,3.9,9.5,3.2,1.3,Moderate,2.61
473,7.7,3.5,5.7,4.7,2.4,High,3.21
474,6.4,3.5,9.7,0.7,3.7,Moderate,2.89
475,7.3,3.9,7.4,4.7,0.7,Moderate,2.74
476,6.4,0.8,8.8,2.3,5.7,Moderate,3.21
477,7.6,2,7.9,5.2,1.3,Moderate,3.13
478,9.1,3.1,7.9,3.7,0.2,High,3.42
479,6,0.4,9.3,2.6,5.7,Moderate,3.02
480,8.1,3.7,5.1,2.9,4.2,High,2.63
481,8.4,2.9,8.5,0.6,3.6,High,3.07
482,9,1.1,6.1,5.7,2.1,High,3.07
483,5,4,8.4,5,1.6,Low,2.9
484,8.7,0.6,8.8,4.5,1.4,High,3.41
485,8.3,3.1,9.2,2.1,1.3,High,3.24
486,5.4,1.6,7,0.4,9.6,Low,2.63
487,6.7,0.4,9,5.7,2.2,Moderate,2.63
488,5.4,2,9,4.2,3.4,Low,2.85
489,5.3,0.3,7,1.8,9.6,Low,2.64
490,9,3.7,7,3.9,0.4,High,3.16
491,6.6,1.9,6.1,3.8,5.6,Moderate,3
492,6.8,2.6,5.6,5.3,3.7,High,3.08
493,7.5,1.8,7.9,3.7,3.1,Moderate,3.17
494,6.2,2.9,9.1,4.7,1.1,Moderate,2.83
